,predictions,attention_mean
2024-04-30,0.5324109,0.14285715
2024-05-01,0.53067946,0.14285713
2024-05-02,0.53275615,0.14285715
2024-05-03,0.5345146,0.14285715
2024-05-06,0.5321514,0.14285715
2024-05-07,0.528915,0.14285713
2024-05-08,0.5318174,0.14285715
2024-05-09,0.52523744,0.14285713
2024-05-10,0.5073569,0.14285715
2024-05-13,0.5005151,0.14285713
2024-05-14,0.5022507,0.14285715
2024-05-15,0.49533328,0.14285713
2024-05-16,0.4912108,0.14285715
2024-05-17,0.49764034,0.14285715
2024-05-20,0.49641246,0.14285713
2024-05-21,0.49284822,0.14285715
2024-05-22,0.48495904,0.14285715
2024-05-23,0.47806737,0.14285715
2024-05-24,0.48237616,0.14285715
2024-05-28,0.49364564,0.14285715
2024-05-29,0.49289143,0.14285713
2024-05-30,0.4939704,0.14285715
2024-05-31,0.5028264,0.14285712
2024-06-03,0.5061731,0.14285715
2024-06-04,0.50614786,0.14285713
2024-06-05,0.5034212,0.14285713
2024-06-06,0.50011027,0.14285713
2024-06-07,0.5019918,0.14285713
2024-06-10,0.49448624,0.14285715
2024-06-11,0.4893473,0.14285713
2024-06-12,0.5066487,0.14285715
2024-06-13,0.50814825,0.14285715
2024-06-14,0.50744313,0.14285715
2024-06-17,0.51638174,0.14285715
2024-06-18,0.5191479,0.14285715
2024-06-20,0.5123285,0.14285715
2024-06-21,0.5114641,0.14285715
2024-06-24,0.50658196,0.14285715
2024-06-25,0.5056465,0.14285716
2024-06-26,0.5045997,0.14285715
2024-06-27,0.49674568,0.14285715
2024-06-28,0.4962136,0.14285715
2024-07-01,0.4957621,0.14285715
2024-07-02,0.48569795,0.14285713
2024-07-03,0.48821744,0.14285715
2024-07-05,0.4792157,0.14285715
2024-07-08,0.47314766,0.14285715
2024-07-09,0.4679147,0.14285715
2024-07-10,0.4636457,0.14285712
2024-07-11,0.47619644,0.14285715
2024-07-12,0.47873363,0.14285715
2024-07-15,0.48038644,0.14285716
2024-07-16,0.47135687,0.14285715
2024-07-17,0.4691863,0.14285713
2024-07-18,0.47304952,0.14285715
2024-07-19,0.4700674,0.14285715
2024-07-22,0.4769949,0.14285715
2024-07-23,0.4766671,0.14285715
2024-07-24,0.48067227,0.14285715
2024-07-25,0.4971047,0.14285715
2024-07-26,0.5108359,0.14285713
2024-07-29,0.51287836,0.14285715
2024-07-30,0.5194723,0.14285715
2024-07-31,0.5219947,0.14285716
2024-08-01,0.52108747,0.14285715
2024-08-02,0.5199906,0.14285715
2024-08-05,0.51408786,0.14285715
2024-08-06,0.5190664,0.14285715
2024-08-07,0.52353776,0.14285715
2024-08-08,0.5164076,0.14285715
2024-08-09,0.5127041,0.14285712
