date,LSTM,GRU,CNN-LSTM,ATT-LSTM,Transformer
2024-04-10,0.024566302127715243,0.07601809079987147,0.020285405201888672,0.09909504853162464,0.08574245190152698
2024-04-11,0.020130937884608974,0.07154169143897303,0.015395553982804549,0.09496744529060457,0.08163886307276505
2024-04-12,0.03850878847454052,0.08970247651050589,0.0328124140131188,0.11161879876989889,0.09827421039481575
2024-04-15,0.05011453301895802,0.1012980397427369,0.038142483514069465,0.12227874624026498,0.1088963626314795
2024-04-16,0.030311289914495863,0.082444848689369,0.013065605405252137,0.10516143661134715,0.09164226248407552
2024-04-17,0.01629423860005689,0.06838240156572795,0.006775071712865889,0.09224505130138119,0.078784544028607
2024-04-18,0.028793433287485452,0.08072747564155065,0.020704189642355156,0.10353926823231648,0.09006825832433464
2024-04-19,0.06498220205722338,0.11687171773532384,0.061013208893542635,0.13668651963281686,0.12309755462754995
2024-04-22,0.07529031292038642,0.12688160538086254,0.06964673198536683,0.14583362566279567,0.13227356803099186
2024-04-23,0.1272001549821968,0.1803436393819725,0.11201384737519006,0.19479645292718695,0.18070337556446117
2024-04-24,0.10224944464946821,0.1567958224199611,0.07703525678990172,0.17327308423057325,0.15896672596908298
2024-04-25,0.10543849778649726,0.1599864445353516,0.08397887657436534,0.17617192962015943,0.1618528488786382
2024-04-26,0.12501050334327987,0.1806316779915389,0.110903102706621,0.19504058174637054,0.18089568432167463
2024-04-29,0.15561887552209114,0.17956346136902016,0.110903102706621,0.19735900007044246,0.18316727307111183
2024-04-30,0.13592960503770327,0.16079715649619175,0.110903102706621,0.1933457455503216,0.1791106476878839
2024-05-01,0.19610395288325053,0.21473481508162645,0.11414483028978839,0.2504221539228879,0.23520445862453224
2024-05-02,0.19610395288325053,0.2637804672215463,0.16600701544171306,0.3112190779793378,0.2950801900956314
2024-05-03,0.19279390942890462,0.2713544133754459,0.16247845218764706,0.26371765078583337,0.24864917675344228
2024-05-06,0.16435812902498745,0.24403556685712102,0.13590094799366467,0.2564438852746099,0.24151813608975034
2024-05-07,0.1429397854232297,0.2250283822841761,0.12094641279272902,0.2404367278142779,0.22576916051638407
2024-05-08,0.20149486448268542,0.2847893314164917,0.15399074279066488,0.29202155159041193,0.27701409881608396
2024-05-09,0.17337905690722552,0.2572297721373502,0.12411673193437042,0.267805217760095,0.2528147583469039
2024-05-10,0.05831041548087041,0.13181279744466057,0.006938003926169371,0.15977712257615803,0.14649999001779476
2024-05-13,0.040684375807042816,0.11645533237999775,0.006343118933586731,0.14618399370583438,0.13301699240941287
2024-05-14,0.05337951422786951,0.15547103980696153,0.016449530460517777,0.18059595412162427,0.1675024333303356
2024-05-15,0.0582966889557239,0.13082086468141849,-0.007099629328353588,0.161254680551089,0.1480262696371059
2024-05-16,0.036116174310090995,0.12231985774486293,-0.018384007643967106,0.1414035687242305,0.12828084659344335
2024-05-17,0.1219485127594045,0.15919764793889982,0.07176676763645315,0.21795825986159875,0.20445445750460817
2024-05-20,0.08990970463832505,0.12768220076577086,0.04025029350483445,0.18673122406029868,0.17378218967302175
2024-05-21,0.017079522881101185,0.05679023741568055,-0.03325570602582541,0.11758202271182899,0.10538285655143827
2024-05-22,-0.07522640110099522,-0.038086442268634856,-0.12674131334059344,0.02204764511111389,0.011093967841600378
2024-05-23,-0.052155764790400995,-0.03584283212908667,-0.15221451239961367,0.022099901371982044,0.01114702082656409
2024-05-24,-0.07001059755235797,-0.05143679118579907,-0.1705039060994384,0.004380624654615535,-0.004581356454461592
2024-05-27,-0.07210600324921763,-0.004595714530461417,-0.1705039060994384,0.04563098994145251,0.03901474525710669
2024-05-28,-0.062102640834872165,0.004303865884271426,-0.17050390609943836,0.04488900986716988,0.040065956920506934
2024-05-29,-0.05992613669804332,0.006291747421451179,-0.1743008944397417,0.041971880575438256,0.04197188057543845
2024-05-30,-0.025738068476838315,0.035691480583868535,-0.1296487161732903,0.07090351654072184,0.07090351654072219
2024-05-31,-0.0355958574569382,0.026795636543831138,-0.13197973843252975,0.06916500150556226,0.06916500150556264
2024-06-03,-0.06033253862146913,0.005205260291814838,-0.13197973843252975,0.07602170790255196,0.07602170790255224
2024-06-04,-0.05811195647102416,0.007256424154938629,-0.12981689375029265,0.08321625855508148,0.08321625855508184
2024-06-05,-0.040002587288569785,0.02309664805975109,-0.1345515737878185,0.09740808106403631,0.09740808106403658
2024-06-06,-0.045909476382501334,0.01766161278020887,-0.1408450323218294,0.09227889885174552,0.09227889885174566
2024-06-07,-0.04230892436530397,0.020872574290205698,-0.136889519118009,0.09521348461315732,0.0952134846131579
2024-06-10,-0.05455480681735203,0.009106399003915248,-0.13688951911800928,0.08364739631931102,0.08364739631931124
